"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .","lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",0.09334754943847656,0.09334754943847656,1,1,1,1,"Failed"
"consistently clever and suspenseful .","consistently clever and suspenseful .",0.009427368640899658,0.009427368640899658,1,1,1,1,"Failed"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.7812833189964294,0.7812833189964294,0,0,1,1,"Skipped"
"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur [[supplies]] with tremendous skill .","the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur [[stagnated]] with tremendous skill .",0.03704392910003662,0.7651395201683044,1,0,1,2,"Successful"
"red dragon "" never cuts corners .","red dragon "" never cuts corners .",0.5704854726791382,0.5704854726791382,0,0,1,1,"Skipped"
"fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .","fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .",0.49245136976242065,0.49245136976242065,1,1,1,1,"Failed"
"throws in enough clever and unexpected twists to make the formula feel fresh .","throws in enough clever and unexpected twists to make the formula feel fresh .",0.11333274841308594,0.11333274841308594,1,1,1,1,"Failed"
"weighty and ponderous but every bit as filling as the treat of the title .","weighty and ponderous but every bit as filling as the treat of the title .",0.9812727570533752,0.9812727570533752,0,0,1,1,"Skipped"
"a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.8850832581520081,0.8850832581520081,0,0,1,1,"Skipped"
"[[generates]] an enormous feeling of empathy for its characters .","[[stagnated]] an enormous feeling of empathy for its characters .",0.25129109621047974,0.9914155006408691,1,0,1,2,"Successful"
"exposing the ways we fool ourselves is one hour photo's real strength .","exposing the ways we fool ourselves is one hour photo's real strength .",0.43665939569473267,0.43665939569473267,1,1,1,1,"Failed"
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .","it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .",0.43989795446395874,0.43989795446395874,1,1,1,1,"Failed"
"mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , human .","mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , human .",0.3090052008628845,0.3090052008628845,1,1,1,1,"Failed"
". . . quite good at providing some good old fashioned spooks .",". . . quite good at providing some good old fashioned spooks .",0.4218398332595825,0.4218398332595825,1,1,1,1,"Failed"
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .","at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",0.5421140193939209,0.5421140193939209,0,0,1,1,"Skipped"
"scherfig's light-hearted profile of emotional desperation is achingly honest and delightfully cheeky .","scherfig's light-hearted profile of emotional desperation is achingly honest and delightfully cheeky .",0.004790604114532471,0.004790604114532471,1,1,1,1,"Failed"
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .","a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .",0.21425014734268188,0.21425014734268188,1,1,1,1,"Failed"
"the wonderfully lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .","the wonderfully lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",0.0034053921699523926,0.0034053921699523926,1,1,1,1,"Failed"
"as it turns out , you can go home again .","as it turns out , you can go home again .",0.1941182017326355,0.1941182017326355,1,1,1,1,"Failed"
"you've already seen city by the sea under a variety of titles , but it's worth yet another visit .","you've already seen city by the sea under a variety of titles , but it's worth yet another visit .",0.7608353495597839,0.7608353495597839,0,0,1,1,"Skipped"
